value,Koppen_Class,Category
IA_Sac,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
IA_Scott,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
IA_Shelby,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
IA_Sioux,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
IA_Story,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
IA_Tama,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
IA_Taylor,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
IA_Union,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
IA_Van Buren,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
IA_Wapello,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
IA_Warren,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
IA_Washington,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
IA_Wayne,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
IA_Webster,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
IA_Winnebago,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
IA_Winneshiek,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
IA_Woodbury,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
IA_Worth,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
IA_Wright,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Allen,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Anderson,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Atchison,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Barber,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Barton,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Bourbon,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Brown,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Butler,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Chase,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Chautauqua,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KS_Cherokee,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KS_Cheyenne,"BSk  Arid, steppe, cold",Non Speciality Crop
KS_Clark,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Clay,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Cloud,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Coffey,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Comanche,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Cowley,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KS_Crawford,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Decatur,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Dickinson,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Doniphan,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Edwards,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Elk,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KS_Ellis,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Ellsworth,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Finney,"BSk  Arid, steppe, cold",Non Speciality Crop
KS_Ford,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Franklin,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Geary,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Gove,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Graham,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Gray,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Greeley,"BSk  Arid, steppe, cold",Non Speciality Crop
KS_Greenwood,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Hamilton,"BSk  Arid, steppe, cold",Non Speciality Crop
KS_Harper,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KS_Harvey,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Haskell,"BSk  Arid, steppe, cold",Non Speciality Crop
KS_Hodgeman,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Jackson,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Jefferson,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Jewell,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Johnson,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Kearny,"BSk  Arid, steppe, cold",Non Speciality Crop
KS_Kingman,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Kiowa,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Lane,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Leavenworth,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Lincoln,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Linn,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Logan,"BSk  Arid, steppe, cold",Non Speciality Crop
KS_Lyon,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Marion,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Marshall,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_McPherson,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Meade,"BSk  Arid, steppe, cold",Non Speciality Crop
KS_Mitchell,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Montgomery,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KS_Morris,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Morton,"BSk  Arid, steppe, cold",Non Speciality Crop
KS_Nemaha,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Neosho,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Ness,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Norton,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Osage,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Osborne,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Ottawa,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Pawnee,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Phillips,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Pottawatomie,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Pratt,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Rawlins,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Reno,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Republic,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Rice,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Rooks,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Rush,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Russell,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Saline,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Scott,"BSk  Arid, steppe, cold",Non Speciality Crop
KS_Sedgwick,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Seward,"BSk  Arid, steppe, cold",Non Speciality Crop
KS_Shawnee,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Sheridan,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Sherman,"BSk  Arid, steppe, cold",Non Speciality Crop
KS_Smith,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Stanton,"BSk  Arid, steppe, cold",Non Speciality Crop
KS_Stevens,"BSk  Arid, steppe, cold",Non Speciality Crop
KS_Sumner,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KS_Thomas,"BSk  Arid, steppe, cold",Non Speciality Crop
KS_Trego,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Wabaunsee,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Wallace,"BSk  Arid, steppe, cold",Non Speciality Crop
KS_Washington,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Wichita,"BSk  Arid, steppe, cold",Non Speciality Crop
KS_Wilson,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Woodson,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KS_Wyandotte,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KY_Adair,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Anderson,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KY_Ballard,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Barren,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Bath,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KY_Bell,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Boone,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KY_Bourbon,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KY_Boyd,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KY_Boyle,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Bracken,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KY_Breathitt,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Breckinridge,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Bullitt,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Butler,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Caldwell,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Calloway,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Campbell,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KY_Carlisle,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Carroll,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KY_Carter,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KY_Casey,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Clark,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Clay,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Clinton,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Crittenden,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Cumberland,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Edmonson,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Elliott,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KY_Estill,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Fayette,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KY_Fleming,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KY_Floyd,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Franklin,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KY_Fulton,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Gallatin,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KY_Garrard,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Grant,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KY_Graves,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Grayson,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Green,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Greenup,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KY_Hancock,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Hardin,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Harlan,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Harrison,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KY_Hart,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Henderson,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Henry,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KY_Hickman,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Hopkins,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Jackson,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Jefferson,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Jessamine,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Johnson,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Kenton,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KY_Knott,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Knox,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Larue,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Laurel,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Lawrence,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KY_Lee,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Leslie,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Letcher,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Lewis,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KY_Lincoln,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Livingston,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Logan,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Lyon,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Madison,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Magoffin,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Marion,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Marshall,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Martin,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Mason,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KY_McCracken,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_McCreary,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_McLean,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Meade,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Menifee,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Mercer,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Metcalfe,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Monroe,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Montgomery,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KY_Morgan,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Muhlenberg,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Nelson,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Nicholas,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KY_Ohio,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Oldham,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KY_Owen,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KY_Owsley,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Pendleton,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KY_Perry,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Pike,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Powell,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Robertson,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KY_Rockcastle,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Rowan,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KY_Russell,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Simpson,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Spencer,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KY_Taylor,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Trigg,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Trimble,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
KY_Union,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Warren,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Washington,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Wayne,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Webster,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Whitley,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Wolfe,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
KY_Woodford,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
LA_Acadia,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Allen,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Ascension,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Assumption,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Beauregard,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Bienville,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Bossier,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Calcasieu,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Caldwell,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Catahoula,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Claiborne,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Concordia,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_De Soto,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_East Baton Rouge,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_East Carroll,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_East Feliciana,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Evangeline,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Franklin,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Iberia,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Iberville,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Jackson,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Jefferson Davis,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Jefferson,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_La Salle,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Lafayette,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Lafourche,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Lincoln,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Livingston,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Madison,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Orleans,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Red River,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Richland,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Sabine,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Saint Bernard,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Saint Charles,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Saint Helena,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Saint James,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Saint John the Baptist,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Saint Landry,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Saint Mary,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Saint Tammany,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Tensas,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Terrebonne,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Union,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Vermilion,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Vernon,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Washington,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Webster,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_West Baton Rouge,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_West Feliciana,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
LA_Winn,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
ME_Franklin,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
ME_Hancock,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
ME_Piscataquis,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
ME_Sagadahoc,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
ME_Somerset,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MD_Allegany,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
MD_Anne Arundel,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
MD_Calvert,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
MD_Cecil,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
MD_Garrett,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MD_Howard,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
MD_Prince George's,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
MD_Queen Anne's,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
MD_Saint Mary's,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
MD_Somerset,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
MD_Talbot,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
MA_Suffolk,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
MI_Alcona,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MI_Alger,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MI_Alpena,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MI_Baraga,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MI_Barry,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
MI_Charlevoix,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MI_Cheboygan,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MI_Chippewa,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MI_Clare,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MI_Crawford,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MI_Emmet,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MI_Gogebic,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MI_Houghton,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MI_Huron,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MI_Ingham,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
MI_Iosco,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MI_Keweenaw,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MI_Lake Hurron,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MI_Lake Michigan,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MI_Lake St. Clair,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
MI_Lake Superior,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MI_Lake,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MI_Luce,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MI_Mackinac,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MI_Marquette,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MI_Menominee,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MI_Missaukee,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MI_Montmorency,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MI_Ogemaw,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MI_Ontonagon,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MI_Osceola,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MI_Oscoda,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MI_Roscommon,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MI_Saint Clair,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
MI_Saint Joseph,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
MI_Schoolcraft,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MI_Shiawassee,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
MI_Wexford,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MN_Aitkin,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MN_Becker,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MN_Beltrami,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MN_Big Stone,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
MN_Carlton,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MN_Carver,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
MN_Cass,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MN_Clearwater,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MN_Cook,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MN_Crow Wing,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MN_Douglas,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
MN_Grant,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
MN_Houston,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
MN_Hubbard,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MN_Isanti,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MN_Itasca,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MN_Jackson,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
MN_Kanabec,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MN_Koochiching,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MN_Lac qui Parle,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
MN_Lake of the Woods,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MN_Lake Superior,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MN_Lake,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
MN_Lincoln,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
MN_Lyon,"Dfa  Cold, no dry season, hot summer",Non Speciality Crop
MN_Mahnomen,"Dfb  Cold, no dry season, warm summer",Non Speciality Crop
